,original_feature_name,features,importances,colors
144,fourier.value.1byte.105,$Fourier$ $raw$ $value$ $105$ $(1$ $byte)$,0.0015382046612446305,blue
145,fourier.value.4byte.69,$Fourier$ $raw$ $value$ $69$ $(4$ $bytes)$,0.0015368717302562485,blue
146,fourier.value.1byte.231,$Fourier$ $raw$ $value$ $231$ $(1$ $byte)$,0.001524626863888663,blue
147,fourier.value.1byte.49,$Fourier$ $raw$ $value$ $49$ $(1$ $byte)$,0.0015199230102451932,blue
148,fourier.value.1byte.7,$Fourier$ $raw$ $value$ $7$ $(1$ $byte)$,0.0015060874812432377,blue
149,fourier.value.1byte.89,$Fourier$ $raw$ $value$ $89$ $(1$ $byte)$,0.0015036513832807224,blue
150,fourier.value.1byte.87,$Fourier$ $raw$ $value$ $87$ $(1$ $byte)$,0.001498062529712312,blue
151,fourier.value.1byte.195,$Fourier$ $raw$ $value$ $195$ $(1$ $byte)$,0.0014963157200949101,blue
152,fourier.value.1byte.182,$Fourier$ $raw$ $value$ $182$ $(1$ $byte)$,0.0014937718708485021,blue
153,fourier.value.1byte.228,$Fourier$ $raw$ $value$ $228$ $(1$ $byte)$,0.0014842835494000743,blue
154,fourier.value.4byte.247,$Fourier$ $raw$ $value$ $247$ $(4$ $bytes)$,0.0014779959948697846,blue
155,advanced.moment_full.8,$8^{th}$ ${central}$ ${moment}$,0.001473653605925095,red
156,fourier.value.4byte.230,$Fourier$ $raw$ $value$ $230$ $(4$ $bytes)$,0.0014654829048555227,blue
157,fourier.value.4byte.4,$Fourier$ $raw$ $value$ $4$ $(4$ $bytes)$,0.0014654222252181634,blue
158,fourier.value.1byte.162,$Fourier$ $raw$ $value$ $162$ $(1$ $byte)$,0.0014619563201269433,blue
159,fourier.value.1byte.39,$Fourier$ $raw$ $value$ $39$ $(1$ $byte)$,0.0014610657204502078,blue
160,fourier.value.1byte.50,$Fourier$ $raw$ $value$ $50$ $(1$ $byte)$,0.0014607309335865528,blue
161,fourier.value.1byte.10,$Fourier$ $raw$ $value$ $10$ $(1$ $byte)$,0.0014589578627664025,blue
162,fourier.value.1byte.144,$Fourier$ $raw$ $value$ $144$ $(1$ $byte)$,0.0014570519868669146,blue
163,fourier.value.1byte.61,$Fourier$ $raw$ $value$ $61$ $(1$ $byte)$,0.0014392897898883627,blue
164,fourier.value.1byte.152,$Fourier$ $raw$ $value$ $152$ $(1$ $byte)$,0.0014374647035277949,blue
165,fourier.value.4byte.133,$Fourier$ $raw$ $value$ $133$ $(4$ $bytes)$,0.001435720273261258,blue
166,fourier.value.1byte.178,$Fourier$ $raw$ $value$ $178$ $(1$ $byte)$,0.0014351422786452051,blue
167,fourier.value.1byte.180,$Fourier$ $raw$ $value$ $180$ $(1$ $byte)$,0.001429115900090673,blue
168,fourier.value.1byte.227,$Fourier$ $raw$ $value$ $227$ $(1$ $byte)$,0.001411379971156784,blue
169,fourier.value.1byte.83,$Fourier$ $raw$ $value$ $83$ $(1$ $byte)$,0.0014106890959928054,blue
170,fourier.value.4byte.18,$Fourier$ $raw$ $value$ $18$ $(4$ $bytes)$,0.0014099284995050406,blue
171,fourier.value.1byte.8,$Fourier$ $raw$ $value$ $8$ $(1$ $byte)$,0.0014070894149820037,blue
172,fourier.value.4byte.245,$Fourier$ $raw$ $value$ $245$ $(4$ $bytes)$,0.0014051147785048282,blue
173,fourier.value.4byte.129,$Fourier$ $raw$ $value$ $129$ $(4$ $bytes)$,0.0014050959518565104,blue
174,fourier.value.1byte.235,$Fourier$ $raw$ $value$ $235$ $(1$ $byte)$,0.0013951637600641555,blue
175,fourier.value.1byte.234,$Fourier$ $raw$ $value$ $234$ $(1$ $byte)$,0.0013951263960896227,blue
176,fourier.value.1byte.135,$Fourier$ $raw$ $value$ $135$ $(1$ $byte)$,0.0013914738780945752,blue
177,fourier.value.1byte.35,$Fourier$ $raw$ $value$ $35$ $(1$ $byte)$,0.0013905142474827526,blue
178,fourier.value.1byte.9,$Fourier$ $raw$ $value$ $9$ $(1$ $byte)$,0.0013878362502368765,blue
179,fourier.value.4byte.123,$Fourier$ $raw$ $value$ $123$ $(4$ $bytes)$,0.0013876568528435082,blue
180,fourier.value.1byte.2,$Fourier$ $raw$ $value$ $2$ $(1$ $byte)$,0.0013874409126818333,blue
181,fourier.value.1byte.100,$Fourier$ $raw$ $value$ $100$ $(1$ $byte)$,0.0013870324522052774,blue
182,fourier.value.1byte.243,$Fourier$ $raw$ $value$ $243$ $(1$ $byte)$,0.0013849895018969798,blue
183,fourier.value.4byte.112,$Fourier$ $raw$ $value$ $112$ $(4$ $bytes)$,0.001381340642916557,blue
184,fourier.value.1byte.56,$Fourier$ $raw$ $value$ $56$ $(1$ $byte)$,0.001380494186508723,blue
185,fourier.value.4byte.220,$Fourier$ $raw$ $value$ $220$ $(4$ $bytes)$,0.0013775022273817572,blue
186,fourier.value.1byte.185,$Fourier$ $raw$ $value$ $185$ $(1$ $byte)$,0.0013734449135551806,blue
187,fourier.value.1byte.236,$Fourier$ $raw$ $value$ $236$ $(1$ $byte)$,0.001373001986871367,blue
188,fourier.value.1byte.84,$Fourier$ $raw$ $value$ $84$ $(1$ $byte)$,0.0013725404863173289,blue
189,fourier.value.1byte.201,$Fourier$ $raw$ $value$ $201$ $(1$ $byte)$,0.0013679238483136741,blue
190,fourier.value.4byte.107,$Fourier$ $raw$ $value$ $107$ $(4$ $bytes)$,0.0013673973939854576,blue
191,fourier.value.1byte.107,$Fourier$ $raw$ $value$ $107$ $(1$ $byte)$,0.0013607656275876408,blue
192,fourier.value.1byte.202,$Fourier$ $raw$ $value$ $202$ $(1$ $byte)$,0.0013561339179210567,blue
193,fourier.value.1byte.23,$Fourier$ $raw$ $value$ $23$ $(1$ $byte)$,0.0013506708391728109,blue
194,fourier.value.4byte.3,$Fourier$ $raw$ $value$ $3$ $(4$ $bytes)$,0.0013480031529068692,blue
195,fourier.value.1byte.224,$Fourier$ $raw$ $value$ $224$ $(1$ $byte)$,0.0013477756137718663,blue
196,fourier.value.1byte.17,$Fourier$ $raw$ $value$ $17$ $(1$ $byte)$,0.0013469610437020216,blue
197,fourier.value.1byte.241,$Fourier$ $raw$ $value$ $241$ $(1$ $byte)$,0.0013454625930896036,blue
198,fourier.value.4byte.6,$Fourier$ $raw$ $value$ $6$ $(4$ $bytes)$,0.0013439514569570888,blue
199,fourier.value.4byte.121,$Fourier$ $raw$ $value$ $121$ $(4$ $bytes)$,0.0013432680312208175,blue
200,fourier.value.1byte.187,$Fourier$ $raw$ $value$ $187$ $(1$ $byte)$,0.0013413001429115475,blue
201,fourier.value.4byte.128,$Fourier$ $raw$ $value$ $128$ $(4$ $bytes)$,0.0013404606985181642,blue
202,fourier.value.4byte.233,$Fourier$ $raw$ $value$ $233$ $(4$ $bytes)$,0.0013391089413438678,blue
203,fourier.value.1byte.156,$Fourier$ $raw$ $value$ $156$ $(1$ $byte)$,0.0013371229979853138,blue
204,fourier.value.1byte.189,$Fourier$ $raw$ $value$ $189$ $(1$ $byte)$,0.001335909023662898,blue
205,fourier.value.1byte.77,$Fourier$ $raw$ $value$ $77$ $(1$ $byte)$,0.0013356309438730854,blue
206,fourier.value.1byte.71,$Fourier$ $raw$ $value$ $71$ $(1$ $byte)$,0.0013319537961248534,blue
207,fourier.value.4byte.243,$Fourier$ $raw$ $value$ $243$ $(4$ $bytes)$,0.0013313260524658588,blue
208,fourier.value.1byte.99,$Fourier$ $raw$ $value$ $99$ $(1$ $byte)$,0.0013312381583074895,blue
209,fourier.value.1byte.164,$Fourier$ $raw$ $value$ $164$ $(1$ $byte)$,0.0013245257514808654,blue
210,fourier.value.1byte.69,$Fourier$ $raw$ $value$ $69$ $(1$ $byte)$,0.0013235532095649716,blue
211,fourier.value.1byte.3,$Fourier$ $raw$ $value$ $3$ $(1$ $byte)$,0.0013218366630222429,blue
212,fourier.value.1byte.13,$Fourier$ $raw$ $value$ $13$ $(1$ $byte)$,0.0013148319850344085,blue
213,fourier.value.1byte.73,$Fourier$ $raw$ $value$ $73$ $(1$ $byte)$,0.001314255743976234,blue
214,fourier.value.1byte.24,$Fourier$ $raw$ $value$ $24$ $(1$ $byte)$,0.0013101531807068758,blue
215,fourier.value.1byte.242,$Fourier$ $raw$ $value$ $242$ $(1$ $byte)$,0.0013089536515880531,blue
216,fourier.value.4byte.130,$Fourier$ $raw$ $value$ $130$ $(4$ $bytes)$,0.0013075738772877505,blue
217,fourier.value.1byte.193,$Fourier$ $raw$ $value$ $193$ $(1$ $byte)$,0.0013065924376985275,blue
218,fourier.value.1byte.248,$Fourier$ $raw$ $value$ $248$ $(1$ $byte)$,0.001306227020562001,blue
219,fourier.value.1byte.90,$Fourier$ $raw$ $value$ $90$ $(1$ $byte)$,0.0013051009389712387,blue
220,fourier.value.1byte.172,$Fourier$ $raw$ $value$ $172$ $(1$ $byte)$,0.0013050104053637449,blue
221,fourier.value.4byte.7,$Fourier$ $raw$ $value$ $7$ $(4$ $bytes)$,0.0013030856714375595,blue
222,fourier.value.1byte.245,$Fourier$ $raw$ $value$ $245$ $(1$ $byte)$,0.0013010532993055627,blue
223,fourier.value.1byte.142,$Fourier$ $raw$ $value$ $142$ $(1$ $byte)$,0.0013003375278427642,blue
224,fourier.value.1byte.237,$Fourier$ $raw$ $value$ $237$ $(1$ $byte)$,0.0012993953706585703,blue
225,fourier.value.1byte.79,$Fourier$ $raw$ $value$ $79$ $(1$ $byte)$,0.0012993775321556145,blue
226,fourier.value.4byte.139,$Fourier$ $raw$ $value$ $139$ $(4$ $bytes)$,0.0012989947297670698,blue
227,fourier.value.1byte.4,$Fourier$ $raw$ $value$ $4$ $(1$ $byte)$,0.0012989442701704082,blue
228,fourier.value.1byte.134,$Fourier$ $raw$ $value$ $134$ $(1$ $byte)$,0.001297208848208803,blue
229,fourier.value.4byte.33,$Fourier$ $raw$ $value$ $33$ $(4$ $bytes)$,0.0012955367410208817,blue
230,fourier.value.1byte.250,$Fourier$ $raw$ $value$ $250$ $(1$ $byte)$,0.0012920965295146508,blue
231,fourier.value.1byte.118,$Fourier$ $raw$ $value$ $118$ $(1$ $byte)$,0.0012907685089651368,blue
232,fourier.value.4byte.248,$Fourier$ $raw$ $value$ $248$ $(4$ $bytes)$,0.0012898406275337238,blue
233,fourier.value.1byte.133,$Fourier$ $raw$ $value$ $133$ $(1$ $byte)$,0.001282357190247725,blue
234,fourier.value.1byte.86,$Fourier$ $raw$ $value$ $86$ $(1$ $byte)$,0.0012821493459489923,blue
235,fourier.value.1byte.1,$Fourier$ $raw$ $value$ $1$ $(1$ $byte)$,0.0012818483299917001,blue
236,fourier.value.1byte.72,$Fourier$ $raw$ $value$ $72$ $(1$ $byte)$,0.0012814183333671222,blue
