,original_feature_name,features,importances,colors
123,fourier.value.1byte.243,$Fourier$ $raw$ $value$ $243$ $(1$ $byte)$,0.0016976162063416797,blue
124,fourier.value.1byte.244,$Fourier$ $raw$ $value$ $244$ $(1$ $byte)$,0.0016934564686532985,blue
125,fourier.value.1byte.146,$Fourier$ $raw$ $value$ $146$ $(1$ $byte)$,0.0016850819795463728,blue
126,fourier.value.1byte.8,$Fourier$ $raw$ $value$ $8$ $(1$ $byte)$,0.001683108280177686,blue
127,fourier.value.4byte.124,$Fourier$ $raw$ $value$ $124$ $(4$ $bytes)$,0.001667222066294761,blue
128,advanced.moment_full.8,$8^{th}$ ${moment}$,0.0016608306078228683,red
129,fourier.value.4byte.4,$Fourier$ $raw$ $value$ $4$ $(4$ $bytes)$,0.0016598966557336754,blue
130,fourier.value.1byte.9,$Fourier$ $raw$ $value$ $9$ $(1$ $byte)$,0.0016561058918316154,blue
131,advanced.moment_full.14,$14^{th}$ ${moment}$,0.001643198611940783,red
132,fourier.value.1byte.69,$Fourier$ $raw$ $value$ $69$ $(1$ $byte)$,0.0016328240956132883,blue
133,fourier.value.1byte.38,$Fourier$ $raw$ $value$ $38$ $(1$ $byte)$,0.0016293597363729883,blue
134,fourier.value.4byte.126,$Fourier$ $raw$ $value$ $126$ $(4$ $bytes)$,0.001623949169937621,blue
135,advanced.moment_full.13,$13^{th}$ ${moment}$,0.0016234684523004975,red
136,fourier.value.4byte.144,$Fourier$ $raw$ $value$ $144$ $(4$ $bytes)$,0.0016173690250600138,blue
137,fourier.value.4byte.230,$Fourier$ $raw$ $value$ $230$ $(4$ $bytes)$,0.0016156983667915202,blue
138,fourier.value.1byte.40,$Fourier$ $raw$ $value$ $40$ $(1$ $byte)$,0.001594060461397591,blue
139,fourier.value.1byte.117,$Fourier$ $raw$ $value$ $117$ $(1$ $byte)$,0.0015907656994167826,blue
140,fourier.value.1byte.208,$Fourier$ $raw$ $value$ $208$ $(1$ $byte)$,0.0015842758580811422,blue
141,fourier.value.1byte.89,$Fourier$ $raw$ $value$ $89$ $(1$ $byte)$,0.0015819331226128864,blue
142,fourier.value.1byte.43,$Fourier$ $raw$ $value$ $43$ $(1$ $byte)$,0.0015702452908730635,blue
143,fourier.value.1byte.178,$Fourier$ $raw$ $value$ $178$ $(1$ $byte)$,0.0015691886103134682,blue
144,fourier.value.1byte.189,$Fourier$ $raw$ $value$ $189$ $(1$ $byte)$,0.0015644276345920536,blue
145,fourier.value.1byte.87,$Fourier$ $raw$ $value$ $87$ $(1$ $byte)$,0.0015365593003309585,blue
146,fourier.value.1byte.44,$Fourier$ $raw$ $value$ $44$ $(1$ $byte)$,0.0015343167682504838,blue
147,fourier.value.4byte.3,$Fourier$ $raw$ $value$ $3$ $(4$ $bytes)$,0.0015236334030984359,blue
148,fourier.value.1byte.197,$Fourier$ $raw$ $value$ $197$ $(1$ $byte)$,0.001520476888176101,blue
149,fourier.value.1byte.16,$Fourier$ $raw$ $value$ $16$ $(1$ $byte)$,0.0015200598532389194,blue
150,fourier.stat.4byte.moment.5,$Fourier$ $5^{th}$ ${moment}$ $(4$ $bytes)$,0.0015199020157419874,blue
151,fourier.value.1byte.182,$Fourier$ $raw$ $value$ $182$ $(1$ $byte)$,0.0015109138050945802,blue
152,fourier.value.1byte.187,$Fourier$ $raw$ $value$ $187$ $(1$ $byte)$,0.0015018799358071891,blue
153,fourier.value.1byte.236,$Fourier$ $raw$ $value$ $236$ $(1$ $byte)$,0.0015007901667324305,blue
154,fourier.value.1byte.49,$Fourier$ $raw$ $value$ $49$ $(1$ $byte)$,0.0015001951870232482,blue
155,fourier.value.1byte.10,$Fourier$ $raw$ $value$ $10$ $(1$ $byte)$,0.0014976959063557212,blue
156,fourier.value.1byte.116,$Fourier$ $raw$ $value$ $116$ $(1$ $byte)$,0.001493074916282397,blue
157,fourier.value.1byte.59,$Fourier$ $raw$ $value$ $59$ $(1$ $byte)$,0.0014926072487578288,blue
158,fourier.value.1byte.99,$Fourier$ $raw$ $value$ $99$ $(1$ $byte)$,0.0014914493093553935,blue
159,fourier.value.1byte.238,$Fourier$ $raw$ $value$ $238$ $(1$ $byte)$,0.0014851074779093346,blue
160,fourier.value.1byte.235,$Fourier$ $raw$ $value$ $235$ $(1$ $byte)$,0.0014833042528461498,blue
161,fourier.value.4byte.107,$Fourier$ $raw$ $value$ $107$ $(4$ $bytes)$,0.0014745152761160751,blue
162,fourier.value.1byte.25,$Fourier$ $raw$ $value$ $25$ $(1$ $byte)$,0.0014697734421494743,blue
163,fourier.value.1byte.177,$Fourier$ $raw$ $value$ $177$ $(1$ $byte)$,0.0014665088482450955,blue
164,fourier.value.1byte.57,$Fourier$ $raw$ $value$ $57$ $(1$ $byte)$,0.00146642319492546,blue
165,fourier.value.4byte.248,$Fourier$ $raw$ $value$ $248$ $(4$ $bytes)$,0.0014643276189767124,blue
166,fourier.value.1byte.62,$Fourier$ $raw$ $value$ $62$ $(1$ $byte)$,0.0014607991672794685,blue
167,fourier.value.4byte.6,$Fourier$ $raw$ $value$ $6$ $(4$ $bytes)$,0.001460619604517468,blue
168,fourier.value.1byte.95,$Fourier$ $raw$ $value$ $95$ $(1$ $byte)$,0.0014551009570193578,blue
169,fourier.value.1byte.198,$Fourier$ $raw$ $value$ $198$ $(1$ $byte)$,0.0014525209056752814,blue
170,fourier.value.4byte.128,$Fourier$ $raw$ $value$ $128$ $(4$ $bytes)$,0.0014500313690499174,blue
171,fourier.value.1byte.207,$Fourier$ $raw$ $value$ $207$ $(1$ $byte)$,0.001449133880450818,blue
172,fourier.value.1byte.137,$Fourier$ $raw$ $value$ $137$ $(1$ $byte)$,0.0014409286605289481,blue
173,fourier.value.4byte.18,$Fourier$ $raw$ $value$ $18$ $(4$ $bytes)$,0.0014386255680665413,blue
174,fourier.value.1byte.110,$Fourier$ $raw$ $value$ $110$ $(1$ $byte)$,0.0014384659556625234,blue
175,fourier.value.1byte.93,$Fourier$ $raw$ $value$ $93$ $(1$ $byte)$,0.0014335276824844257,blue
176,fourier.value.1byte.163,$Fourier$ $raw$ $value$ $163$ $(1$ $byte)$,0.0014327707167013258,blue
177,fourier.value.1byte.168,$Fourier$ $raw$ $value$ $168$ $(1$ $byte)$,0.0014287599592951428,blue
178,fourier.value.1byte.142,$Fourier$ $raw$ $value$ $142$ $(1$ $byte)$,0.0014226276562095536,blue
179,fourier.value.1byte.190,$Fourier$ $raw$ $value$ $190$ $(1$ $byte)$,0.0014110417187893653,blue
180,fourier.value.4byte.33,$Fourier$ $raw$ $value$ $33$ $(4$ $bytes)$,0.0014091750324679922,blue
181,fourier.value.1byte.241,$Fourier$ $raw$ $value$ $241$ $(1$ $byte)$,0.001405115989388268,blue
182,fourier.value.4byte.123,$Fourier$ $raw$ $value$ $123$ $(4$ $bytes)$,0.0014030681652247314,blue
183,fourier.value.1byte.134,$Fourier$ $raw$ $value$ $134$ $(1$ $byte)$,0.001402809068117507,blue
184,fourier.value.4byte.247,$Fourier$ $raw$ $value$ $247$ $(4$ $bytes)$,0.0014026634032967581,blue
185,fourier.value.1byte.78,$Fourier$ $raw$ $value$ $78$ $(1$ $byte)$,0.001399757287718574,blue
186,fourier.value.1byte.156,$Fourier$ $raw$ $value$ $156$ $(1$ $byte)$,0.0013983145354680968,blue
187,fourier.value.4byte.182,$Fourier$ $raw$ $value$ $182$ $(4$ $bytes)$,0.0013822276415987418,blue
188,fourier.value.1byte.80,$Fourier$ $raw$ $value$ $80$ $(1$ $byte)$,0.0013809679662335067,blue
189,fourier.value.4byte.245,$Fourier$ $raw$ $value$ $245$ $(4$ $bytes)$,0.0013808172718356168,blue
190,fourier.value.1byte.66,$Fourier$ $raw$ $value$ $66$ $(1$ $byte)$,0.0013778088748289358,blue
